gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,costat,weburl
001004,2000-05-31,1999,INDL,C,D,STD,AAR CORP,USD,A,www.aarcorp.com
001010,2000-12-31,2000,INDL,C,D,STD,ACF INDUSTRIES INC,USD,I,www.acfindustries.com
001013,2000-10-31,2000,INDL,C,D,STD,ADC TELECOMMUNICATIONS INC,USD,I,
001019,2000-12-31,2000,INDL,C,D,STD,AFA PROTECTIVE SYSTEMS INC,USD,I,www.afap.com
001021,2000-06-30,2000,INDL,C,D,STD,AFP IMAGING CORP,USD,I,www.ImageWorksCorporation.com
001034,2000-12-31,2000,INDL,C,D,STD,ALPHARMA INC  -CL A,USD,I,
001036,2000-12-31,2000,INDL,C,D,STD,UNITED DOMINION INDUSTRIES,USD,I,
001037,2000-03-31,1999,INDL,C,D,STD,AM COMMUNICATIONS INC,USD,I,
001038,2000-03-31,1999,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,I,www.amctheatres.com
001045,2000-12-31,2000,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,A,www.aa.com
001048,2000-12-31,2000,INDL,C,D,STD,ANR PIPELINE CO,USD,I,www.anrpl.com/company_info/
001050,2000-12-31,2000,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,A,www.cecoenviro.com
001056,2000-06-30,2000,INDL,C,D,STD,AEROFLEX INC,USD,I,www.aeroflex.com
001062,2000-11-30,2000,FS,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,A,www.asaltd.com
001062,2000-11-30,2000,INDL,C,D,STD,ASA GOLD AND PRECIOUS METALS,USD,A,www.asaltd.com
001072,2000-03-31,1999,INDL,C,D,STD,AVX CORP,USD,I,www.kyocera-avx.com
001075,2000-12-31,2000,INDL,C,D,STD,PINNACLE WEST CAPITAL CORP,USD,A,www.pinnaclewest.com
001076,2000-12-31,2000,INDL,C,D,STD,PROG HOLDINGS INC,USD,A,progholdings.com
001078,2000-12-31,2000,INDL,C,D,STD,ABBOTT LABORATORIES,USD,A,www.abbott.com
001081,2000-12-31,2000,INDL,C,D,STD,ABITIBI CONSOLIDATED INC,CAD,I,
001082,2000-04-30,1999,INDL,C,D,STD,SERVIDYNE INC,USD,I,www.servidyne.com
001084,2000-12-31,2000,INDL,C,D,STD,WORLDS INC,USD,A,www.worlds.com
001094,2000-06-30,2000,INDL,C,D,STD,ACETO CORP,USD,I,actylis.com
001095,2000-12-31,2000,INDL,C,D,STD,ACKERLEY GROUP INC,USD,I,
001096,2000-12-31,2000,INDL,C,D,STD,MORGUARD CORP,CAD,A,www.morguard.com
001097,2000-12-31,2000,INDL,C,D,STD,ACMAT CORP  -CL A,USD,A,www.acmatcorp.com
